Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,13.104250,13.652500,12.962500,13.113500,13.082320,560640000
2021-01-05,13.099750,13.443500,13.087000,13.404750,13.372880,322760000
2021-01-06,13.222500,13.245000,12.586000,12.614500,12.584508,580424000
2021-01-07,12.967500,13.377750,12.886500,13.344000,13.312274,461480000
2021-01-08,13.362500,13.421000,13.042000,13.276750,13.245184,292528000
2021-01-11,13.418750,13.961000,13.362500,13.621500,13.589115,518344000
2021-01-12,13.752500,13.754500,13.345000,13.484750,13.452688,291476000
2021-01-13,13.490000,13.625000,13.385000,13.531750,13.499578,210028000
2021-01-14,13.575000,13.599750,13.180500,13.200250,13.168866,283120000
2021-01-15,13.228000,13.325250,12.848500,12.859500,12.828926,277780000
2021-01-19,13.016250,13.094000,12.844000,13.025250,12.994284,226188000
2021-01-20,13.111750,13.430500,13.056750,13.365750,13.333972,258572000
2021-01-21,13.418500,13.999250,13.253000,13.867500,13.834532,337780000
2021-01-22,13.740000,13.841750,13.627250,13.712500,13.679899,246820000
2021-01-25,13.781750,13.828500,13.236500,13.653250,13.620789,251112000
2021-01-26,13.580500,13.644750,13.387500,13.435250,13.403308,163980000
2021-01-27,13.230000,13.232750,12.793750,12.917750,12.887039,371272000
2021-01-28,12.996250,13.339750,12.960500,13.051000,13.019971,228316000
2021-01-29,13.075000,13.334750,12.911500,12.989750,12.958866,271552000
2021-02-01,13.053250,13.270750,12.902750,13.237000,13.205530,217204000
2021-02-02,13.398750,13.572000,13.285500,13.556750,13.524519,220440000
2021-02-03,13.636000,13.931750,13.516500,13.530500,13.498331,245408000
2021-02-04,13.531000,13.673500,13.337750,13.664250,13.631764,201340000
2021-02-05,13.725000,13.737250,13.545750,13.591000,13.558687,169152000
2021-02-08,13.727250,14.473750,13.727250,14.438750,14.404423,434624000
2021-02-09,14.340750,14.583250,14.222500,14.263250,14.229340,287560000
2021-02-10,14.463250,14.905000,14.341500,14.764250,14.729150,485352000
2021-02-11,14.980250,15.272250,14.925000,15.250750,15.214491,450828000
2021-02-12,15.050000,15.291250,14.775000,14.961250,14.925680,374756000
2021-02-16,15.064250,15.372500,14.950000,15.330250,15.293802,321960000
2021-02-17,15.171000,15.223500,14.780000,14.906000,14.870563,274756000
2021-02-18,14.729000,14.873250,14.575000,14.829000,14.793744,233868000
2021-02-19,15.024500,15.177000,14.846750,14.926500,14.891012,271724000
2021-02-22,14.774750,15.133250,14.325000,14.355750,14.321620,325884000
2021-02-23,14.075250,14.238750,13.389500,14.142000,14.108377,391780000
2021-02-24,14.122750,14.506750,13.756000,14.499000,14.464528,448320000
2021-02-25,14.045500,14.374750,13.216250,13.307500,13.275863,824436000
2021-02-26,13.752500,13.854500,13.361000,13.714500,13.681893,500932000
2021-03-01,13.875000,13.925000,13.553250,13.841750,13.808843,353184000
2021-03-02,13.900000,13.920500,13.396000,13.406250,13.374375,264116000
2021-03-03,13.426250,13.451500,12.798750,12.804750,12.774306,377592000
2021-03-04,12.800750,12.975000,12.083750,12.370250,12.340838,573344000
2021-03-05,12.550000,12.550000,11.679250,12.461500,12.431873,542840000
2021-03-08,12.450000,12.471250,11.566500,11.593250,11.565685,543112000
2021-03-09,12.130250,12.616750,12.059250,12.520250,12.494793,521824000
2021-03-10,12.840500,12.980000,12.457500,12.468250,12.442903,384376000
2021-03-11,12.950000,13.046250,12.734500,12.993500,12.967081,299916000
2021-03-12,12.648250,12.888750,12.590000,12.856000,12.829861,243964000
2021-03-15,12.864750,13.206750,12.767250,13.191250,13.164431,221988000
2021-03-16,13.356500,13.512500,13.116750,13.291250,13.264228,272128000
2021-03-17,13.039750,13.453250,12.989500,13.341250,13.314125,243864000
2021-03-18,13.136500,13.184000,12.717000,12.722500,12.696631,293896000
2021-03-19,12.750000,12.921500,12.612500,12.845750,12.819632,299208000
2021-03-22,12.912750,13.394500,12.906750,13.186250,13.159441,297804000
2021-03-23,13.254250,13.344500,13.021250,13.070750,13.044176,222048000
2021-03-24,13.151250,13.159250,12.636750,12.643000,12.617293,245840000
2021-03-25,12.499500,12.714750,12.272000,12.535250,12.509764,295144000
2021-03-26,12.554500,12.856250,12.373500,12.839250,12.813146,363968000
2021-03-29,12.820250,13.062500,12.700000,12.948250,12.921923,273520000
2021-03-30,12.842000,12.975250,12.705000,12.871750,12.845580,200204000
2021-03-31,13.015500,13.470500,12.982500,13.348250,13.321115,314776000
2021-04-01,13.572250,13.870000,13.511250,13.811750,13.783669,308276000
2021-04-05,13.867500,14.014000,13.733000,13.987500,13.959062,255672000
